Generation,PID,Epoch, Training Loss, Validation Loss,Best loss (Generation), Accuracy,EarlyStopCount,Runtime
8,5,8,0.07952674,0.08272126,0.07801225,0.8612,   2/  3,4.19025898
8,5,9,0.07811788,0.07710897,0.07710897,0.8696,   2/  3,4.24211359
8,5,10,0.07701507,0.07824106,0.07710897,0.8703,   3/  3,4.35416126
8,6,0,0.31219713,0.26315837,0.26315837,0.3507,   0/  3,4.18111086
8,6,1,0.23635341,0.218006,0.218006,0.4399,   0/  3,4.24437308
8,6,2,0.21671232,0.206078,0.206078,0.4811,   0/  3,4.25492811
8,6,3,0.21065278,0.19873401,0.19873401,0.5016,   0/  3,4.25703645
8,6,4,0.19715189,0.2105336,0.19873401,0.4373,   1/  3,4.25469875
8,6,5,0.19040119,0.18714825,0.18714825,0.5231,   1/  3,4.2567296
8,6,6,0.18880873,0.18008954,0.18008954,0.5454,   1/  3,4.25507545
8,6,7,0.18264505,0.17459346,0.17459346,0.581,   1/  3,4.25678778
8,6,8,0.17700999,0.17964634,0.17459346,0.5808,   2/  3,4.30603337
8,6,9,0.17445797,0.17184114,0.17184114,0.5942,   2/  3,4.42859411
8,6,10,0.1759441,0.17305082,0.17184114,0.5986,   3/  3,4.51843882
8,7,0,0.15039984,0.08635656,0.08635656,0.8483,   0/  3,4.07705998
8,7,1,0.08121292,0.0743097,0.0743097,0.8824,   0/  3,4.13166475
8,7,2,0.07371254,0.06872261,0.06872261,0.8906,   0/  3,4.12818241
8,7,3,0.07071028,0.06971822,0.06872261,0.8867,   1/  3,4.1192627
8,7,4,0.06871586,0.06884945,0.06872261,0.8893,   2/  3,4.12043929
8,7,5,0.06761412,0.06680177,0.06680177,0.8926,   2/  3,4.12362909
8,7,6,0.06676762,0.06745932,0.06680177,0.8948,   3/  3,4.11839652
8,8,0,0.24183995,0.20020973,0.20020973,0.538,   0/  3,4.14078093
8,8,1,0.16446653,0.13591247,0.13591247,0.7329,   0/  3,4.16784644
8,8,2,0.13320356,0.12271566,0.12271566,0.7772,   0/  3,4.17183709
8,8,3,0.12605056,0.12201825,0.12201825,0.7808,   0/  3,4.17567539
8,8,4,0.12175414,0.11934784,0.11934784,0.778,   0/  3,4.17660427
8,8,5,0.11621836,0.11251552,0.11251552,0.7935,   0/  3,4.16471863
8,8,6,0.11224433,0.10855619,0.10855619,0.7987,   0/  3,4.16989088
8,8,7,0.11057958,0.12741876,0.10855619,0.7629,   1/  3,4.17430449
8,8,8,0.10944408,0.11182015,0.10855619,0.7916,   2/  3,4.1835618
8,8,9,0.10842055,0.10586457,0.10586457,0.8002,   2/  3,4.23402667
8,8,10,0.10752878,0.10718796,0.10586457,0.8007,   3/  3,4.34340119
8,9,0,0.17283571,0.11082825,0.11082825,0.8138,   0/  3,4.03527069
8,9,1,0.10000585,0.08812687,0.08812687,0.8579,   0/  3,4.06142807
8,9,2,0.08137796,0.07443123,0.07443123,0.8815,   0/  3,4.06345177
8,9,3,0.0735407,0.0731241,0.0731241,0.8835,   0/  3,4.06725311
8,9,4,0.07032865,0.06594078,0.06594078,0.8932,   0/  3,4.06921387
8,9,5,0.06759218,0.06822638,0.06594078,0.8883,   1/  3,4.06211138
8,9,6,0.06623359,0.06489883,0.06489883,0.8932,   1/  3,4.075243
8,9,7,0.06509548,0.06444759,0.06444759,0.8957,   1/  3,4.06720161
8,9,8,0.06448816,0.06364219,0.06364219,0.8928,   1/  3,4.08949757
8,9,9,0.06356448,0.06764324,0.06364219,0.8902,   2/  3,4.14399719
8,9,10,0.06308008,0.06380177,0.06364219,0.8974,   3/  3,4.16551638
