Generation,PID,Epoch,Training Loss,Validation Loss,Best Loss(Generation),Accuracy,EarlyStop Count,Runtim
6,4,2,0.32494949,0.32491204,0.32491204,0.1135,   0/  3,3.94935632
6,4,3,0.32495468,0.32492759,0.32491204,0.1135,   1/  3,3.95848751
6,4,4,0.32495788,0.32494876,0.32491204,0.1135,   2/  3,3.96086097
6,4,5,0.32495928,0.32491288,0.32491204,0.1135,   3/  3,3.96064138
6,5,0,0.32271771,0.28268139,0.28268139,0.2182,   0/  3,3.88900065
6,5,1,0.28050079,0.2771027,0.2771027,0.2177,   0/  3,3.91804552
6,5,2,0.27574651,0.27495226,0.27495226,0.2251,   0/  3,3.91802192
6,5,3,0.274654,0.27217292,0.27217292,0.2456,   0/  3,3.91447878
6,5,4,0.2731971,0.27339809,0.27217292,0.2448,   1/  3,3.91823888
6,5,5,0.2713913,0.2710465,0.2710465,0.247,   1/  3,3.917521
6,5,6,0.26981284,0.26847154,0.26847154,0.2415,   1/  3,3.92314649
6,5,7,0.26871278,0.26536024,0.26536024,0.2818,   1/  3,3.92203784
6,5,8,0.26591115,0.26798817,0.26536024,0.2586,   2/  3,3.93179846
6,5,9,0.26184165,0.26085757,0.26085757,0.2925,   2/  3,3.96714878
6,5,10,0.26029451,0.25759566,0.25759566,0.3128,   2/  3,3.98923087
6,5,11,0.25933975,0.25685861,0.25685861,0.3117,   2/  3,4.007411
6,5,12,0.25848547,0.25746424,0.25685861,0.3158,   3/  3,4.08806872
6,6,0,0.31822582,0.27003949,0.27003949,0.1968,   0/  3,3.85747409
6,6,1,0.26523078,0.26149123,0.26149123,0.3007,   0/  3,3.87657046
6,6,2,0.25862267,0.25642463,0.25642463,0.3139,   0/  3,3.87804174
6,6,3,0.25329319,0.25138072,0.25138072,0.3434,   0/  3,3.87355018
6,6,4,0.24808714,0.24830012,0.24830012,0.3472,   0/  3,3.87571502
6,6,5,0.24562086,0.24440475,0.24440475,0.3595,   0/  3,3.86964178
6,6,6,0.24420861,0.24391718,0.24391718,0.3545,   0/  3,3.88340068
6,6,7,0.24335092,0.24383318,0.24383318,0.3682,   0/  3,3.88121009
6,6,8,0.24258293,0.24246722,0.24246722,0.3683,   0/  3,3.89434862
6,6,9,0.24203919,0.24313531,0.24246722,0.375,   1/  3,3.91363192
6,6,10,0.24168315,0.2425582,0.24246722,0.378,   2/  3,3.94414949
6,6,11,0.24110633,0.24294636,0.24246722,0.3712,   3/  3,3.96281672
6,7,0,0.37953007,0.32504364,0.32504364,0.1135,   0/  3,3.92592859
6,7,1,0.32497222,0.32492942,0.32492942,0.1135,   0/  3,3.94525123
6,7,2,0.32495378,0.32491469,0.32491469,0.1135,   0/  3,3.93664837
6,7,3,0.32494879,0.32493279,0.32491469,0.1135,   1/  3,3.94933152
6,7,4,0.32495114,0.32491498,0.32491469,0.1135,   2/  3,3.94640732
6,7,5,0.32495385,0.32491453,0.32491453,0.1135,   2/  3,3.93943667
6,7,6,0.32495417,0.32494586,0.32491453,0.1135,   3/  3,3.93973327
6,8,0,0.35057344,0.32498833,0.32498833,0.1135,   0/  3,3.83068824
6,8,1,0.32500189,0.32496989,0.32496989,0.1135,   0/  3,3.83865523
6,8,2,0.32499905,0.32497869,0.32496989,0.1135,   1/  3,3.8484993
6,8,3,0.32498691,0.32494091,0.32494091,0.1135,   1/  3,3.84977245
6,8,4,0.32500046,0.32493505,0.32493505,0.1135,   1/  3,3.84716749
