Generation,PID, Epoch, Training Loss, Validation Loss,Best, Accuracy,EarlyStopCount,Runtime
1,7,5,0.25351325,0.25556788,0.25369575,0.348,   2/  3,3.83132386
1,7,6,0.2533337,0.25252043,0.25252043,0.4126,   2/  3,3.83410096
1,7,7,0.25228266,0.25122618,0.25122618,0.3983,   2/  3,3.83711958
1,7,8,0.251597,0.25178599,0.25122618,0.3836,   3/  3,3.86121607
1,8,0,0.21636894,0.12330155,0.12330155,0.7891,   0/  3,4.91825056
1,8,1,0.10638201,0.09320138,0.09320138,0.8148,   0/  3,4.94871044
1,8,2,0.08879042,0.0854389,0.0854389,0.8253,   0/  3,4.95894408
1,8,3,0.08276819,0.08331259,0.08331259,0.8303,   0/  3,4.95901251
1,8,4,0.07912999,0.08009578,0.08009578,0.8403,   0/  3,4.9575541
1,8,5,0.07552385,0.07951604,0.07951604,0.8659,   0/  3,4.96461701
1,8,6,0.07064018,0.07409431,0.07409431,0.8834,   0/  3,4.96646929
1,8,7,0.06733552,0.07378069,0.07378069,0.8879,   0/  3,4.96712279
1,8,8,0.06494582,0.06853853,0.06853853,0.9027,   0/  3,4.98433185
1,8,9,0.06302095,0.06945142,0.06853853,0.9033,   1/  3,5.01436043
1,8,10,0.06087337,0.06697441,0.06697441,0.9028,   1/  3,5.03241587
1,8,11,0.05974802,0.06670066,0.06670066,0.9077,   1/  3,5.03952813
1,8,12,0.05790446,0.06458301,0.06458301,0.9092,   1/  3,5.07317686
1,8,13,0.05613155,0.06079917,0.06079917,0.9117,   1/  3,5.10354018
1,8,14,0.05517843,0.06048121,0.06048121,0.9117,   1/  3,5.10704827
1,8,15,0.05394435,0.06134551,0.06048121,0.9089,   2/  3,5.10833812
1,8,16,0.0523621,0.05868309,0.05868309,0.9162,   2/  3,5.11481977
1,8,17,0.05097842,0.05625071,0.05625071,0.918,   2/  3,5.11014175
1,8,18,0.05027545,0.05762141,0.05625071,0.9164,   3/  3,5.10883284
1,9,0,0.27167911,0.21989691,0.21989691,0.4454,   0/  3,4.97473216
1,9,1,0.2149136,0.20413669,0.20413669,0.4539,   0/  3,5.01956272
1,9,2,0.20174769,0.19798717,0.19798717,0.4656,   0/  3,5.02212143
1,9,3,0.19627004,0.19230215,0.19230215,0.4799,   0/  3,5.02335262
1,9,4,0.19441418,0.19829038,0.19230215,0.4951,   1/  3,5.02362633
1,9,5,0.19278774,0.19053062,0.19053062,0.5285,   1/  3,5.02552462
1,9,6,0.18916826,0.18578607,0.18578607,0.5384,   1/  3,5.021101
1,9,7,0.18451693,0.1789195,0.1789195,0.5879,   1/  3,5.0378294
1,9,8,0.17771187,0.17481935,0.17481935,0.5982,   1/  3,5.07659054
1,9,9,0.17443388,0.17224603,0.17224603,0.6043,   1/  3,5.17310715
1,9,10,0.1729323,0.17093234,0.17093234,0.5998,   1/  3,5.20546651
1,9,11,0.17142618,0.1719627,0.17093234,0.6084,   2/  3,5.25897145
1,9,12,0.17326853,0.18101768,0.17093234,0.6044,   3/  3,5.4672029
2,0,0,0.29752246,0.2170817,0.2170817,0.4565,   0/  3,4.66283512
